,encoded_id,order_approved_at_month,product_063d853b6d570a9a5d06e8e044658c21,product_07c055536ebf10dfbb6c6db6dbfc36e5,product_08401f48b67a852d06105725c3013eff,product_0be701e03657109a8a4d5168122777fb,product_11b062c710beb867b4897ff2728e828d,product_124f74f703e88efe001a10bfa718b6ff,product_130482add9fd75ccb6c57ba007694a2d,product_138d7037b59dcee052810952c983033b,product_13c270dd3d811877114b2a225436a79a,product_145978af3e89b318be0b717a0953649a,product_1706d1bb420e7ef2404270b38e937fbc,product_18290697e1929309b3195d2931c91b09,product_19c91ef95d509ea33eda93495c4d3481,product_207bb2d8180c2c7654872f6fab96e40e,product_28c95d7653177449fd4b6fc7adb63ce9,product_2c28b6fda526be32ed276b4dfc421acb,product_31cddbc370031fbb839a21441df28015,product_33f17ed3c6906f7a7ae17a0843536db4,product_368c6c730842d78016ad823897a372db,product_389d119b48cf3043d311335e499d9c6b,product_3dd2a17168ec895c781a9191c1e95ad7,product_3fbc0ef745950c7932d5f2a446189725,product_3fc00af0f0a8d4ac2933d3900416c977,product_422879e10f46682990de24d770e7f83d,product_4283bfae8ccecf22edb4cc17084aeab0,product_437c05a395e9e47f9762e677a7068ce7,product_461f43be3bdf8844e65b62d9ac2c7a5a,product_4775a411941138402e6de133a0245dad,product_48633254f8b7b802b1ca8c4f4dcf3e33,product_48f866f20b5b6015a324210988e73387,product_491c6b0ec61399a890b22a6ed2d9a4b0,product_4aa6014eceb682077f9dc4bffebc05b0,product_4e8b71eebba5605faf020d7e2a5067c9,product_54d9ac713e253fa1fae9c8003b011c2a,product_5a848e4ab52fd5445cdc07aab1c40e48,product_5bfcd193eb29c1c8332e2d4ca804d54f,product_5ed39c3cfec7336d6b641fd71befc491,product_632ba0c3ace598871c24c49380796d57,product_6421588f55f75de28cb3357e07723d14,product_64f1126c9715d5394b7301934c6833f0,product_68baff1f2dbcb2df8581897b10150905,product_6b874ff4c71d18e91079b40396bf176a,product_6e02baf23db1455640241542c78be139,product_6e79f7513adfd9ac67faa19f0d4ace53,product_71540d636652fc682032d3b3c0a180c1,product_71a5f1c2a5fd9889ef26b5ac22aec9c6,product_727017cd91a0361b8ae4cfcff15e9682,product_76d58c2f53f7d340cb9fe2d8514e38ae,product_777d2e438a1b645f3aec9bd57e92672c,product_78efe838c04bbc568be034082200ac20,product_7bb6d6699f4f2ff3315e4df8419d4584,product_811ea06b526cf16fd375cbabb9b8a99f,product_815ab08327dd05cc75b2b67311f83239,product_8b6ed41158b194711f83b8da92757544,product_8ed094bfe076c568f6bb10feada3f75d,product_9391a573abe00141c56e38d84d7d5b3b,product_98a8c2fa16d7239c606640f5555768e4,product_99a4788cb24856965c36a24e339b6058,product_9a469eaf45dfbc43d39ba1977a3c07af,product_9d014ce7c9f42f5d675f893d6abf1339,product_9ea1152d6d52dc57ab2ea49aa626adc1,product_a02d0123079f4ae96001ba2010d1a2df,product_a04a2402a7774ba53d10ed2ce29715e3,product_a0cb23ea9b98f51407ac7bd1fcd29c2e,product_a298a105818dce6878b787e4af6cff7d,product_a2da86fa759178e9e58e54aa1a144e59,product_a5647c44af977b148e0a3a4751a09e2e,product_a8e69cb7ca2c04d5ba7f73b2385f2a76,product_a92930c327948861c015c919a0bcb4a8,product_a9516a079e37a9c9c36b9b78b10169e8,product_aa280035c50ba62c746480a59045eec4,product_ab40c45cb88545d5efa2679b30cec4c3,product_aba86c093ccdbac75b09111d57e50004,product_abb9d7140478c19fd773dc14e8071abd,product_af0a917aec9cea3b353ece61a8825326,product_b05e00841a6dad404ef34ae67807879a,product_b5466db4cecf95c3c1be0ba32538ce1a,product_b9142260cefbbd5688748061179bb7fe,product_bb50f2e236e5eea0100680137654686c,product_bd07b66896d6f1494f5b86251848ced7,product_c5b72065154ec27c2d1ed8a654c3348f,product_d011223de539cd224b5c5c8082313d46,product_d2d39433df84064b1556612cc52cefca,product_da31a8967c1dd9649b9e034eaa588783,product_dbb4b4f90abe510323ed00da4314b2c3,product_de809d6e8b2d61c8d82566466916d5ba,product_e2372fa4eec7531e44bb43844876e25b,product_e64e4ef7b809314306d9c09635d8cd30,product_e74c906e50417096a9c1fb2c5860b010,product_e9b2560544c293e02f2b966041e10f24,product_ec2d43cc59763ec91694573b31f1c29a,product_ee0c1cf2fbeae95205b4aa506f1469f0,product_ee6c49af1a2de55aa0e076257ab4ab99,product_ef1cd7db4d53e9ab7517ec9d4aecfa03,product_efa490145b5cc82438b6a6de691535fa,product_f75b94ae22e65bec6b67d9652ef8387c,product_f89caa3ea4fb5f7b6e7fb2bb4ba61881,product_fb55982be901439613a95940feefd9ee
0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,8,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
