,encoded_id,order_approved_at_month,product_id
0,1,5,20995
1,2,1,9410
2,3,5,23482
3,4,3,20526
4,5,7,18349
5,6,9,1477
6,7,2,22486
7,8,11,2314
8,9,1,1021
9,10,1,15175
10,11,11,13443
11,12,2,12402
12,13,9,8050
13,14,3,6561
14,15,4,6288
15,16,1,18973
16,17,8,16147
17,18,6,28676
18,19,5,19099
19,20,11,20008
20,21,8,2416
21,22,10,6862
22,23,5,2481
23,24,4,20219
24,25,5,14982
25,26,2,26276
26,27,7,19197
27,28,5,2247
28,29,11,29643
29,30,5,30953
30,31,9,8346
31,32,11,7139
32,33,4,9206
33,34,6,12516
34,35,3,21078
35,36,5,20938
36,37,10,21703
37,38,8,9113
38,39,7,17806
39,40,2,30817
40,41,7,20972
41,42,12,31298
42,43,2,13755
43,44,10,17358
44,45,5,11881
45,46,4,21897
46,47,4,14898
47,48,11,9190
48,49,1,11549
49,50,4,12614
50,51,5,25950
51,52,1,7806
52,53,5,19761
53,54,6,5213
54,55,2,14237
55,56,1,29095
56,57,7,19943
57,58,6,9889
58,59,3,8048
59,60,3,19928
60,61,2,16172
61,62,5,8837
62,63,4,21262
63,64,11,29697
64,65,10,13803
65,66,12,27196
66,67,9,27762
67,68,9,22999
68,69,7,15519
69,70,1,2506
70,71,3,8512
71,72,12,24587
72,73,9,28798
73,74,12,29785
74,75,3,21213
75,76,8,9005
76,77,8,2591
77,78,3,27397
78,79,1,11360
79,80,3,8399
80,81,5,2937
81,82,3,4190
82,83,6,23296
83,84,5,10668
84,85,10,5638
85,86,3,29857
86,87,6,20248
87,88,5,14350
88,89,3,19544
89,90,8,28174
90,91,6,14189
91,92,10,3077
92,93,4,8512
93,94,6,3304
94,95,4,762
95,96,4,13108
96,97,8,21271
97,98,12,29413
98,99,8,8048
99,100,8,972
100,101,12,12890
101,102,12,7824
102,103,3,22789
103,104,8,24426
104,105,3,18501
105,106,5,6862
106,107,6,10280
107,108,9,9674
108,109,7,13903
109,110,5,20483
110,111,2,288
111,112,9,4300
112,113,12,10523
113,114,2,12035
114,115,6,3163
115,116,4,12133
116,117,8,22955
117,118,5,26122
118,119,2,6668
119,120,5,10187
120,121,8,2049
121,122,5,26930
122,123,6,3365
123,124,5,18668
124,125,6,11439
125,126,4,28021
126,127,5,13845
127,128,5,8787
128,129,2,5530
129,130,5,30514
130,131,6,22403
131,132,9,30487
132,133,9,7200
133,134,8,6162
134,135,12,20414
135,136,8,15049
136,137,11,6376
137,138,2,28433
138,139,9,5522
139,140,4,20972
140,141,4,13200
141,142,8,31061
142,143,8,16669
143,144,2,2798
144,145,5,29991
145,146,1,5638
146,147,8,11136
147,148,2,28625
148,149,5,2653
149,150,9,1822
150,151,7,14165
151,152,8,19417
152,153,7,9267
153,154,11,8522
154,155,3,6635
155,156,7,11760
156,157,5,19261
157,158,1,13295
158,159,3,28134
159,160,1,5678
160,161,11,14120
161,162,2,6040
162,163,8,26272
163,164,4,13325
164,165,3,9785
165,166,5,12935
166,167,5,3817
167,168,9,21519
168,169,7,14556
169,170,11,2862
170,171,8,31310
171,172,6,17088
172,173,5,7206
173,174,4,11217
174,175,5,11917
175,176,6,12618
176,177,1,30404
177,178,8,5789
178,179,4,11134
179,180,6,15729
180,181,3,5770
181,182,7,29016
182,183,2,2701
183,184,5,31138
184,185,2,16495
185,186,6,3207
186,187,3,23651
187,188,8,12449
188,189,12,10557
189,190,12,8190
