clientId,country,product_id
50398,RJ,8361
87747,SP,28636
21004,MG,24819
65566,SP,14831
37639,SP,21360
49936,MG,29847
37159,SP,17602
94527,SP,10757
37252,SP,6189
2820,SP,8729
6202,SP,26721
23848,SP,30096
47393,RJ,19099
59048,SP,6862
59048,SP,6862
27477,MG,17509
36072,SP,7985
37504,SP,10018
91731,SP,22464
66759,SP,11883
50021,SP,10717
20039,SP,11017
9927,RJ,3600
12592,PR,11721
86754,RJ,11323
7472,RJ,4363
1062,SP,24308
45841,GO,3603
67775,SP,17102
8041,SP,7149
21244,RJ,12901
16008,MG,5205
70003,GO,29058
70003,GO,29058
70003,GO,29058
52993,PR,4533
17242,PR,10171
32713,RJ,21984
19455,BA,8147
56854,AL,31664
87738,SP,24728
77671,MG,5205
78381,BA,1366
78381,BA,1366
78381,BA,1366
22816,SP,27390
66907,SP,27401
31991,SP,16625
50380,SP,28695
50380,SP,28695
82245,BA,6152
74234,MG,14982
6023,MS,16999
25202,MG,23569
27030,PR,20504
50620,RJ,28112
86537,SP,28731
7067,SP,2539
79485,MG,9846
93087,CE,3140
51458,MG,1529
93380,CE,6727
71733,DF,31625
92294,RS,8462
17526,SP,17099
73832,SP,12566
65381,PR,14258
25953,PE,27833
92966,RS,655
89940,MG,27143
66886,SP,14820
49267,PR,231
75883,SC,24216
66477,MG,25442
13693,SP,20695
40322,SP,5818
40322,SP,5818
6884,PR,18870
87886,SP,26605
12127,BA,19768
17424,RS,26448
17424,RS,26448
9608,RJ,21596
81626,MG,23532
88251,MG,25024
7324,PR,10674
57014,RJ,1009
93898,MG,5570
93898,MG,5570
12997,ES,16929
62116,RJ,28126
22638,SP,4062
22638,SP,4062
47281,BA,16567
55013,SP,1923
79727,SP,17216
54967,SP,29394
94677,SP,14237
70916,SP,9561
40773,MG,7332
76586,SP,7185
13882,RJ,19151
13882,RJ,19151
44649,AL,12331
20632,DF,20458
95394,MS,8726
4609,SP,31236
17946,SP,27374
23777,MA,8225
90395,SP,8048
34659,MA,10060
44439,RJ,12674
44439,RJ,12674
10724,SP,9526
